classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
448472525,CSLab-UPM,2175052,89ad1819c3c9747be653,22731,workflow_flashes_universe,17.20,2022-11-03 15:34:27 UTC,,,"{""source"":""api"",""session"":""9e7d4663822e710dd41c3682a80c95ec929497eede634e54f2ba6285e1ab63d3"",""viewport"":{""width"":1920,""height"":877},""started_at"":""2022-11-03T15:34:20.341Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-03T15:34:28.853Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":789,""clientHeight"":789,""naturalWidth"":1024,""naturalHeight"":1024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-03T15:34:18.257Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""Es un rey o un alfil"",""value"":""ALFIL""},{""task"":""T1"",""task_label"":""Blanca o negra"",""value"":""NEGRA""}]","{""82006651"":{""retired"":null,""Filename"":""00000028.jpg""}}",82006651
448472550,CSLab-UPM,2175052,695f0fead518180f0b51,22731,workflow_flashes_universe,17.20,2022-11-03 15:34:37 UTC,,,"{""source"":""api"",""session"":""9e7d4663822e710dd41c3682a80c95ec929497eede634e54f2ba6285e1ab63d3"",""viewport"":{""width"":1920,""height"":877},""started_at"":""2022-11-03T15:34:31.034Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-03T15:34:38.384Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":789,""clientHeight"":789,""naturalWidth"":1299,""naturalHeight"":1300}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-03T15:34:18.257Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""Es un rey o un alfil"",""value"":""REY""},{""task"":""T1"",""task_label"":""Blanca o negra"",""value"":""BLANCA""}]","{""82008181"":{""retired"":null,""Filename"":""00000199.jpg""}}",82008181
448472858,CSLab-UPM,2175052,8d04fb4311ee9a2a0463,22731,workflow_flashes_universe,17.20,2022-11-03 15:36:24 UTC,,,"{""source"":""api"",""session"":""4e8622ffe92ba3805445ace186b96049a29b2438dc2f9919eee6272c8b0e8c9f"",""viewport"":{""width"":1920,""height"":877},""started_at"":""2022-11-03T15:36:15.330Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-03T15:36:25.768Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":630,""clientHeight"":630,""naturalWidth"":630,""naturalHeight"":630}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-03T15:36:13.201Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""Es un rey o un alfil"",""value"":""ALFIL""},{""task"":""T1"",""task_label"":""Blanca o negra"",""value"":""BLANCA""}]","{""82006664"":{""retired"":null,""Filename"":""00000070.jpg""}}",82006664
448472888,CSLab-UPM,2175052,8d04fb4311ee9a2a0463,22731,workflow_flashes_universe,17.20,2022-11-03 15:36:33 UTC,,,"{""source"":""api"",""session"":""4e8622ffe92ba3805445ace186b96049a29b2438dc2f9919eee6272c8b0e8c9f"",""viewport"":{""width"":1920,""height"":877},""started_at"":""2022-11-03T15:36:27.140Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-03T15:36:35.508Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":450,""clientHeight"":470,""naturalWidth"":450,""naturalHeight"":470}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-03T15:36:13.201Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""Es un rey o un alfil"",""value"":""ALFIL""},{""task"":""T1"",""task_label"":""Blanca o negra"",""value"":""BLANCA""}]","{""82006687"":{""retired"":null,""Filename"":""00000120.jpg""}}",82006687
448479596,CSLab-UPM,2175052,3ea42a1ff61aa85924b7,22731,workflow_flashes_universe,17.20,2022-11-03 16:03:03 UTC,,,"{""source"":""api"",""session"":""f5dc92686e37509ba5c002859e307de1bda3d7e2cd7605b045ed714b937e844b"",""viewport"":{""width"":1920,""height"":877},""started_at"":""2022-11-03T16:02:57.145Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-03T16:03:05.022Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":587,""clientHeight"":733,""naturalWidth"":587,""naturalHeight"":733}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-03T16:02:55.750Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""Es un rey o un alfil"",""value"":""REY""},{""task"":""T1"",""task_label"":""Blanca o negra"",""value"":""BLANCA""}]","{""82008106"":{""retired"":null,""Filename"":""00000075.jpg""}}",82008106
448487232,CSLab-UPM,2175052,bc3e4f61d10c0a33c734,22731,workflow_flashes_universe,27.42,2022-11-03 16:28:32 UTC,,,"{""source"":""api"",""session"":""fe8538ea120f4c109c5c3eb4367bebd4a8d0381b4eed33d79b7838bc4eef095f"",""viewport"":{""width"":1920,""height"":877},""started_at"":""2022-11-03T16:28:03.598Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-03T16:28:33.820Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":480,""clientHeight"":480,""naturalWidth"":480,""naturalHeight"":480}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-03T16:28:02.234Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""¿Meteoro o no?"",""value"":""Si, es un meteoro""},{""task"":""T2"",""task_label"":""Trayectoria"",""value"":[{""x1"":331.3125,""x2"":132.3125,""y1"":59.75,""y2"":371.75,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Draw""}]}]","{""82008168"":{""retired"":null,""Filename"":""00000166.png""}}",82008168
448504270,CSLab-UPM,2175052,89ad1819c3c9747be653,22731,workflow_flashes_universe,27.42,2022-11-03 17:28:38 UTC,,,"{""source"":""api"",""session"":""f69070e97e7ecfc1c9f017eb33ea35e7947c46705a6b498888c67001a234196d"",""viewport"":{""width"":1920,""height"":877},""started_at"":""2022-11-03T17:28:26.635Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-03T17:28:38.112Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":576,""naturalWidth"":720,""naturalHeight"":576}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-03T17:28:25.271Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""¿Meteoro o no?"",""value"":""No""},{""task"":""T1"",""task_label"":""¿Qué es?"",""value"":""Nubes""}]","{""82009787"":{""retired"":null,""Filename"":""Cam4.20080829_021022.jpg""}}",82009787
448504345,CSLab-UPM,2175052,89ad1819c3c9747be653,22731,workflow_flashes_universe,27.42,2022-11-03 17:28:50 UTC,,,"{""source"":""api"",""session"":""f69070e97e7ecfc1c9f017eb33ea35e7947c46705a6b498888c67001a234196d"",""viewport"":{""width"":1920,""height"":877},""started_at"":""2022-11-03T17:28:42.360Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-03T17:28:51.592Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-03T17:28:39.953Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""¿Meteoro o no?"",""value"":""Si, es un meteoro""},{""task"":""T2"",""task_label"":""Trayectoria"",""value"":[{""x1"":436.3125,""x2"":456.3125,""y1"":33.75,""y2"":63.75,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Draw""}]}]","{""82009803"":{""retired"":null,""Filename"":""meteor_Cam4.20081104_033112 (1).jpg""}}",82009803
449463923,CSLab-UPM,2175052,cc76f1bb4d42f06b49e1,22731,workflow_flashes_universe,27.42,2022-11-08 14:09:12 UTC,,,"{""source"":""api"",""session"":""ebac8ffbcaa157db6dfee2b89e7c23dc8892997ae1b981063f357772bbad429f"",""viewport"":{""width"":1920,""height"":941},""started_at"":""2022-11-08T14:08:11.545Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-08T14:09:11.834Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":480,""naturalWidth"":640,""naturalHeight"":480}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-08T14:08:12.160Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""¿Meteoro o no?"",""value"":""Si, es un meteoro""},{""task"":""T2"",""task_label"":""Trayectoria"",""value"":[{""x1"":465.3125,""x2"":445.3125,""y1"":146.75,""y2"":184.75,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Draw""}]}]","{""82009750"":{""retired"":null,""Filename"":""bolid1-Cam1.20120217_044940.jpg""}}",82009750
449464078,CSLab-UPM,2175052,cc76f1bb4d42f06b49e1,22731,workflow_flashes_universe,27.42,2022-11-08 14:09:47 UTC,,,"{""source"":""api"",""session"":""ebac8ffbcaa157db6dfee2b89e7c23dc8892997ae1b981063f357772bbad429f"",""viewport"":{""width"":1920,""height"":941},""started_at"":""2022-11-08T14:09:13.632Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2022-11-08T14:09:46.246Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":576,""naturalWidth"":720,""naturalHeight"":576}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-11-08T14:08:12.160Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""59679""}","[{""task"":""T0"",""task_label"":""¿Meteoro o no?"",""value"":""No""},{""task"":""T1"",""task_label"":""¿Qué es?"",""value"":""Otro""}]","{""82009782"":{""retired"":null,""Filename"":""Cam4.20071213_210114.jpg""}}",82009782
